region,order_year,total_sales,total_profit,order_count,prior_year_sales,yoy_sales_growth_pct
Central,2014,103838.16,539.55,230,,
Central,2015,102874.22,11716.8,234,103838.16,-0.93
Central,2016,147429.38,19899.16,305,102874.22,43.31
Central,2017,147098.13,7550.84,406,147429.38,-0.22
East,2014,128680.46,17059.61,261,,
East,2015,156332.06,21091.01,296,128680.46,21.49
East,2016,180685.82,20141.6,374,156332.06,15.58
East,2017,213082.9,33230.56,470,180685.82,17.93
South,2014,103845.84,11879.12,165,,
South,2015,71359.98,8318.59,170,103845.84,-31.28
South,2016,93610.22,17702.81,214,71359.98,31.18
South,2017,122905.86,8848.91,273,93610.22,31.3
West,2014,147883.03,20065.69,313,,
West,2015,139966.25,20492.19,338,147883.03,-5.35
West,2016,187480.18,24051.61,422,139966.25,33.95
West,2017,250128.37,43808.96,538,187480.18,33.42
